Year,weight,Location_of_Residence,HH_Income,Head_of_HH_Age,Head_of_HH_Gender,Hispanic_Origin_of_HH,Head_of_HH_Race,Head_of_HH_RaceOrigin,HH_Size,Population_Size,HH_Region,Police_Notified,Agg_of_PropertyCrime,Type_of_Crime,Victim_Services,Location_of_Incident
2014,1523.80803,2,3,3,2,2,3,3,3,1,3,2,3,8,2,1
2014,1438.09676,2,88,4,1,2,1,1,1,1,1,2,3,8,2,1
2014,2862.01967,1,4,2,1,2,1,1,1,5,3,1,3,6,2,1
2014,1216.83916,1,3,5,1,2,1,1,1,1,4,2,3,8,2,1
2014,3279.94725,1,7,3,1,2,1,1,2,4,4,2,3,8,2,1
2014,3279.94725,1,7,3,1,2,1,1,2,4,4,2,3,8,,1
2014,3279.94725,1,7,3,1,2,1,1,2,4,4,2,3,8,2,1
2014,1889.28311,1,2,3,2,2,2,2,1,5,3,1,3,6,2,1
2014,1889.28311,1,2,3,2,2,2,2,1,5,3,1,3,6,2,1
2014,2715.86953,2,88,4,1,2,1,1,4,0,1,3,3,6,2,1
2014,1693.02348,2,88,4,2,2,1,1,2,0,3,1,3,8,2,4
2014,2757.5305,2,88,4,1,2,1,1,2,0,3,2,3,8,2,3
2014,1780.35709,1,88,2,2,2,1,1,2,4,4,2,3,8,2,1
2014,1356.57083,2,5,4,2,2,1,1,2,0,3,1,3,8,2,1
2014,1832.57361,1,6,2,1,2,1,1,2,4,3,2,3,8,2,1
2014,2476.24591,1,3,4,2,2,1,1,2,3,3,2,3,8,2,3
2014,2973.31561,1,5,2,2,1,1,4,3,4,3,1,3,6,2,1
2014,1606.76146,2,7,3,2,2,1,1,2,0,3,1,3,8,2,3
2014,2229.61359,1,5,2,1,2,2,2,2,4,3,2,3,8,2,3
2014,2938.89362,2,6,2,2,1,1,4,3,1,1,2,3,8,2,1
2014,1458.38799,1,2,3,1,1,1,4,1,1,4,1,3,8,2,2
2014,1420.3165,2,4,5,2,2,3,3,2,0,4,1,3,8,2,1
2014,1445.74153,1,4,3,2,2,2,2,1,5,3,1,3,7,2,3
2014,1595.49816,1,4,4,2,2,2,2,2,5,1,2,3,8,2,5
2014,1961.16928,1,7,3,2,2,2,2,3,1,3,2,3,8,2,3
2014,2265.55993,3,4,4,1,2,3,3,2,0,3,2,3,8,2,1
